IT Charging Guidelines,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,"Concur, Timesheets, Maximo, Basware, IFS",,,,,,,,,
Description,,Company id,Location,Department,Project,Activity,Expense Type,Account,Account Name,Account Group,
Rapid 7 (Vulnerability management external scans of all PortCos),,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
Dark Owl (Threat Intelligence program),,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
KPMG – Situational awareness and Regulatory reviews ,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
Shodan (vulnerability management),,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
Incident Response Retainer with external third-party ,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
Third-party NIST CSF 2.0 Maturity Assessment for Operations ,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
External Disaster Recovery Fire drill ,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
"OneTrust (Third party, Incident Response, Privacy Risk Management)",,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,515200,Consultant Other,Consultant fees,
Scipher app - LV3,,"(75668) Los Vientos Windpower III, LLC",LV03,8030,,,,514301,IT Software,Computer Expenses,
Scipher app - LV4,,"(75801) Los Vientos Windpower IV, LLC",LV04,8030,,,,514301,IT Software,Computer Expenses,
Scipher app - LV5,,"(75808) Los Vientos Windpower V, LLC",LV05,8030,,,,514301,IT Software,Computer Expenses,
YES Energy,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Threads (HR related),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
,,,,,,,,,,,
"IT Allocation to Wind, Solar & Battery",,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWSB,,"Project Code for site allocation:
XXXX25G013",,,,
"IT Allocation to Wind, Solar, Batt & Cntrl Svcs",,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWSBC,,,,,,
IT Allocation to Wind & Solar Assets,,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWS,,,,,,
IT Allocation to Wind Assets,,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWIND,,,,,,
IT Allocation to Solar Assets,,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITSLR,,,,,,
Deriva ETRM RFP selection and ETRM implementation,,"(75736) Deriva Energy Services, LLC",DSOL,,DETRMRFP25,,,,,,
,,,,,,,,,,,
IT Separation,,,,,,,,,,,
Core ERP,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24001,,,"Dependent upon work performed or purchase

Account:

514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",,,
Core HRIS System,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24002,,,,,,
New Deriva HRIS,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24003,,,,,,
IT and HR Helpdesk Solution ,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24004,,,,,,
ETRM Solution & Bid to Bill,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24005,,,,,,
"Operational Data Management (PI Systems), EMS, Meters",,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24006,,,,,,
Integration Layer & Data Analytics,,"(75736) Deriva Energy Services, LLC",DSOL,8032,DSOLM24007,,,,,,
"Core Workflow Management [Maximo (Projetech), PasTa, EZMax ]",,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24008,,,,,,
Other Key apps for cloning and extraction,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLM24009,,,,,,
Data Center & Colo Migration,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLM24010,,,,,,
