LOCATION,LOCATION NAME,COMPANY,PROJECT_ID,NAME,DESCRIPTION,ACTIVITY_SEQ,PLAN_START,PLAN_FINISH,PROGRAM_ID,ACTIVITY_NO,DESCRIPTION,PROJECT_ACTIVITY,,Project (NS),Activity (NS),Activity Desc(NS)
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G009,Community Benefit,Community Benefit,100022680,1/1/2025,3/31/2026,OM,10,General,SUNB25G009.100.10,2025 load addition,SUNBOM,OM701,OM - Community Benefit
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G011,Environmental Compliance,Environmental Compliance,100022768,1/1/2025,3/31/2026,OM,10,General,SUNB25G011.100.10,2025 load addition,SUNBOM,OM702,OM - Environmental Compliance
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G012,Facilities,Facilities,100022857,1/1/2025,3/31/2026,OM,10,General,SUNB25G012.100.10,2025 load addition,SUNBOM,OM703,OM - Facilities
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G013,IT,Information Technology,100023034,1/1/2025,3/31/2026,OM,10,General,SUNB25G013.100.10,2025 load addition,SUNBOM,OM704,OM - Information Technology
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G014,Light & Heat,Light & Heat,100023130,1/1/2025,3/31/2026,OM,10,General,SUNB25G014.100.10,2025 load addition,SUNBOM,OM708,OM - Light & Heat
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G015,Interconnection Fees,Interconnection Fees,100022953,1/1/2025,3/31/2026,OM,10,General,SUNB25G015.100.10,2025 load addition,SUNBOM,OM705,OM - Interconnection Fees
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G016,Waste Management,Waste Management,100023438,1/1/2025,3/31/2026,OM,10,General,SUNB25G016.100.10,2025 load addition,SUNBOM,OM712,OM - Waste Management
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G017,Site Security,Site Security,100023262,1/1/2025,3/31/2026,OM,10,General,SUNB25G017.100.10,2025 load addition,SUNBOM,OM711,OM - Site Security
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25G018,IT: Telecoms,IT: Telecoms,100023343,1/1/2025,3/31/2026,OM,10,General,SUNB25G018.100.10,2025 load addition,SUNBOM,OM707,OM - IT: Telecoms
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25I001,Inverter O&M: Preventative Mntce,Inverter O&M: Preventative Mntce,100022112,1/1/2025,3/31/2026,OM,10,General,SUNB25I001.100.10,2025 load addition,SUNBOM,OM301,OM - Inverter OM: Preventative Mntce
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25I002,Inverter O&M: Minor Corrective,Inverter O&M: Minor Corrective,100022053,1/1/2025,3/31/2026,OM,10,General,SUNB25I002.100.10,2025 load addition,SUNBOM,OM302,OM - Inverter OM: Minor Corrective
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25I003,Inverter O&M: Major Corrective,Inverter O&M: Major Corrective,100021986,1/1/2025,3/31/2026,OM,10,General,SUNB25I003.100.10,2025 load addition,SUNBOM,OM303,OM - Inverter OM: Major Corrective
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25M007,Solar O&M: Major Corrective,Solar O&M: Major Corrective,100021702,1/1/2025,3/31/2026,OM,10,General,SUNB25M007.100.10,2025 load addition,SUNBOM,OM408,OM - Solar OM: Major Corrective
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25P001,Modules O&M: Preventative Mntce,Modules O&M: Preventative Mntce,100022381,1/1/2025,3/31/2026,OM,10,General,SUNB25P001.100.10,2025 load addition,SUNBOM,OM601,OM - Panels OM: Preventative Mntce
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25P002,Modules O&M: Minor Corrective,Modules O&M: Minor Corrective,100022254,1/1/2025,3/31/2026,OM,10,General,SUNB25P002.100.10,2025 load addition,SUNBOM,OM603,OM - Panels OM: Minor Corrective
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25P003,Modules O&M: Major Corrective,Modules O&M: Major Corrective,100022187,1/1/2025,3/31/2026,OM,10,General,SUNB25P003.100.10,2025 load addition,SUNBOM,OM604,OM - Panels OM: Major Corrective
SUNB,SoINCPower6 LLC (Sunbury),75552,SUNB25P004,Modules O&M: Panel Cleaning,Modules O&M: Panel Cleaning,100022318,1/1/2025,3/31/2026,OM,10,General,SUNB25P004.100.10,2025 load addition,SUNBOM,OM602,OM - Panels OM: Panel Cleaning
CONE,"Conetoe II Solar, LLC",75553,CONE25B001,BoP: Elec BoP: Corrective,BoP: Elec BoP: Corrective,100021151,1/1/2025,3/31/2026,OM,10,General,CONE25B001.100.10,2025 load addition,CONEOM,OM502,OM - BoP: Elec BoP: Corrective
CONE,"Conetoe II Solar, LLC",75553,CONE25B002,BoP: Elec BoP: Preventative,BoP: Elec BoP: Preventative,100021241,1/1/2025,3/31/2026,OM,10,General,CONE25B002.100.10,2025 load addition,CONEOM,OM501,OM - BoP: Elec BoP: Preventative
CONE,"Conetoe II Solar, LLC",75553,CONE25B003,BoP: Met Mast/Met Station BoP,BoP: Met Mast/Met Station BoP,100021334,1/1/2025,3/31/2026,OM,10,General,CONE25B003.100.10,2025 load addition,CONEOM,OM503,OM - BoP: Met Mast/Met Station BoP
CONE,"Conetoe II Solar, LLC",75553,CONE25B004,BoP: Vegetation Management ,BoP: Vegetation Management ,100021405,1/1/2025,3/31/2026,OM,10,General,CONE25B004.100.10,2025 load addition,CONEOM,OM504,OM - BoP: Vegetation Management 
CONE,"Conetoe II Solar, LLC",75553,CONE25B005,BoP: Civil BoP,BoP: Civil BoP,100021060,1/1/2025,3/31/2026,OM,10,General,CONE25B005.100.10,2025 load addition,CONEOM,OM505,OM - BoP: Civil BoP
CONE,"Conetoe II Solar, LLC",75553,CONE25G002,Preventative Mntce: Site Non-Tech,Preventative Mntce: Site Non-Tech,100021785,1/1/2025,3/31/2026,OM,10,General,CONE25G002.100.10,2025 load addition,CONEOM,OM202,OM - Preventative Mntce: Site Non-Tech
CONE,"Conetoe II Solar, LLC",75553,CONE25G005,Solar O&M: Minor Corrective,Solar O&M: Minor Corrective,100021719,1/1/2025,3/31/2026,OM,10,General,CONE25G005.100.10,2025 load addition,CONEOM,OM203,OM - Solar OM: Minor Corrective
CONE,"Conetoe II Solar, LLC",75553,CONE25G006,Preventative Mntce: Site ,Preventative Mntce: Site ,100021859,1/1/2025,3/31/2026,OM,10,General,CONE25G006.100.10,2025 load addition,CONEOM,OM201,OM - Preventative Mntce: Site 
CONE,"Conetoe II Solar, LLC",75553,CONE25G007,Ops Support: Site Specific,Ops Support: Site Specific,100022427,1/1/2025,3/31/2026,OM,10,General,CONE25G007.100.10,2025 load addition,CONEOM,OM710,OM - Ops Support: Site Specific
CONE,"Conetoe II Solar, LLC",75553,CONE25G008,Issuance Fee,Issuance Fee,100022530,1/1/2025,3/31/2026,OM,10,General,CONE25G008.100.10,2025 load addition,CONEOM,OM706,OM - Issuance Fee
CONE,"Conetoe II Solar, LLC",75553,CONE25G009,Community Benefit,Community Benefit,100022630,1/1/2025,3/31/2026,OM,10,General,CONE25G009.100.10,2025 load addition,CONEOM,OM701,OM - Community Benefit
CONE,"Conetoe II Solar, LLC",75553,CONE25G010,NERC Compliance,NERC Compliance,100023164,1/1/2025,3/31/2026,OM,10,General,CONE25G010.100.10,2025 load addition,CONEOM,OM709,OM - NERC Compliance
CONE,"Conetoe II Solar, LLC",75553,CONE25G011,Environmental Compliance,Environmental Compliance,100022718,1/1/2025,3/31/2026,OM,10,General,CONE25G011.100.10,2025 load addition,CONEOM,OM702,OM - Environmental Compliance
CONE,"Conetoe II Solar, LLC",75553,CONE25G012,Facilities,Facilities,100022807,1/1/2025,3/31/2026,OM,10,General,CONE25G012.100.10,2025 load addition,CONEOM,OM703,OM - Facilities
CONE,"Conetoe II Solar, LLC",75553,CONE25G013,IT,Information Technology,100022990,1/1/2025,3/31/2026,OM,10,General,CONE25G013.100.10,2025 load addition,CONEOM,OM704,OM - Information Technology
CONE,"Conetoe II Solar, LLC",75553,CONE25G014,Light & Heat,Light & Heat,100023080,1/1/2025,3/31/2026,OM,10,General,CONE25G014.100.10,2025 load addition,CONEOM,OM708,OM - Light & Heat
CONE,"Conetoe II Solar, LLC",75553,CONE25G015,Interconnection Fees,Interconnection Fees,100022903,1/1/2025,3/31/2026,OM,10,General,CONE25G015.100.10,2025 load addition,CONEOM,OM705,OM - Interconnection Fees
CONE,"Conetoe II Solar, LLC",75553,CONE25G016,Waste Management,Waste Management,100023388,1/1/2025,3/31/2026,OM,10,General,CONE25G016.100.10,2025 load addition,CONEOM,OM712,OM - Waste Management
CONE,"Conetoe II Solar, LLC",75553,CONE25G017,Site Security,Site Security,100023212,1/1/2025,3/31/2026,OM,10,General,CONE25G017.100.10,2025 load addition,CONEOM,OM711,OM - Site Security
CONE,"Conetoe II Solar, LLC",75553,CONE25G018,IT: Telecoms,IT: Telecoms,100023299,1/1/2025,3/31/2026,OM,10,General,CONE25G018.100.10,2025 load addition,CONEOM,OM707,OM - IT: Telecoms
CONE,"Conetoe II Solar, LLC",75553,CONE25I001,Inverter O&M: Preventative Mntce,Inverter O&M: Preventative Mntce,100022068,1/1/2025,3/31/2026,OM,10,General,CONE25I001.100.10,2025 load addition,CONEOM,OM301,OM - Inverter OM: Preventative Mntce
CONE,"Conetoe II Solar, LLC",75553,CONE25I002,Inverter O&M: Minor Corrective,Inverter O&M: Minor Corrective,100022003,1/1/2025,3/31/2026,OM,10,General,CONE25I002.100.10,2025 load addition,CONEOM,OM302,OM - Inverter OM: Minor Corrective
CONE,"Conetoe II Solar, LLC",75553,CONE25I003,Inverter O&M: Major Corrective,Inverter O&M: Major Corrective,100021936,1/1/2025,3/31/2026,OM,10,General,CONE25I003.100.10,2025 load addition,CONEOM,OM303,OM - Inverter OM: Major Corrective
CONE,"Conetoe II Solar, LLC",75553,CONE25M007,Solar O&M: Major Corrective,Solar O&M: Major Corrective,100021652,1/1/2025,3/31/2026,OM,10,General,CONE25M007.100.10,2025 load addition,CONEOM,OM408,OM - Solar OM: Major Corrective
